,0,1,2
200,70050,https://upload.wikimedia.org/wikipedia/commons/4/4e/Rose%2C_Lavender_Pinocchio%2C_%E3%83%90%E3%83%A9%2C_%E3%83%A9%E3%83%99%E3%83%B3%E3%83%80%E3%83%BC_%E3%83%94%E3%83%8E%E3%82%AD%E3%82%AA%2C_%2812845837423%29.jpg,72
345,70195,https://upload.wikimedia.org/wikipedia/commons/0/04/Rose%2C_Butterscotch%2C_%E3%83%90%E3%83%A9%2C_%E3%83%90%E3%82%BF%E3%83%BC%E3%82%B9%E3%82%B3%E3%83%83%E3%83%81%2C_%288731195597%29.jpg,72
885,70735,https://upload.wikimedia.org/wikipedia/commons/2/2c/Rose_Amanogawa_%E3%83%90%E3%83%A9_%E5%A4%A9%E3%81%AE%E5%B7%9D_%288086218071%29.jpg,72
486,70336,https://upload.wikimedia.org/wikipedia/commons/6/64/Rose-_Alfred_Sisley_%E3%82%A2%E3%83%AB%E3%83%95%E3%83%AC%E3%83%83%E3%83%89_%E3%82%B7%E3%82%B9%E3%83%AC%E3%83%BC_%285035710193%29.jpg,72
53,69903,https://upload.wikimedia.org/wikipedia/commons/f/fb/Rose_Baron_Girod_de_l%27Ain_%E3%83%90%E3%83%A9_%E3%83%90%E3%83%AD%E3%83%B3_%E3%82%B8%E3%83%AD%E3%83%BC_%E3%83%89_%E3%83%A9%E3%83%B3_%284644693767%29.jpg,72
1468,71318,https://upload.wikimedia.org/wikipedia/commons/f/fc/Rose_Choco_Chip_%E3%83%90%E3%83%A9_%E3%83%81%E3%83%A7%E3%82%B3%E3%83%81%E3%83%83%E3%83%97_%287210210638%29.jpg,72
1311,71161,https://upload.wikimedia.org/wikipedia/commons/8/8a/Rose_Sommermorgen_%E3%83%90%E3%83%A9_%E3%82%BE%E3%83%A0%E3%83%9E%E3%83%BC%E3%83%A2%E3%83%AB%E3%82%B2%E3%83%B3_%287186765973%29.jpg,72
1599,71449,https://upload.wikimedia.org/wikipedia/commons/d/d9/Rose%2CWhite_Grootendorst%2C%E3%83%90%E3%83%A9%2C%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88_%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%86%E3%83%B3%E3%83%89%E3%83%AB%E3%82%B9%E3%83%88%2C_%288157925171%29.jpg,72
139,69989,https://upload.wikimedia.org/wikipedia/commons/1/1f/Rose%2C_Phoebe%2C_%E3%83%90%E3%83%A9%2C_%E3%83%95%E3%82%A7%E3%83%BC%E3%83%96%2C_%289044477085%29.jpg,72
660,70510,https://upload.wikimedia.org/wikipedia/commons/4/4d/Rose_Ravel_%E3%83%90%E3%83%A9_%E3%83%A9%E3%83%B4%E3%82%A7%E3%83%AB_%287287088676%29.jpg,72
612,70462,https://upload.wikimedia.org/wikipedia/commons/c/c8/Rose%2C_Harmonie%2C_%E3%83%90%E3%83%A9%2C_%E3%83%8F%E3%83%BC%E3%83%A2%E3%83%8B%E3%83%BC%2C_%2816004721642%29.jpg,72
992,70842,https://upload.wikimedia.org/wikipedia/commons/8/81/Rose%2C_Rosa_cv._Mary_Queen_of_Scots%2C_%E3%83%90%E3%83%A9%2C_%E3%83%9E%E3%83%AA%E3%83%BC%E3%83%BB%E3%82%AF%E3%82%A3%E3%83%BC%E3%83%B3%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%82%B9%E3%82%B3%E3%83%83%E3%83%88%2C_%2813085410813%29.jpg,72
1510,71360,https://upload.wikimedia.org/wikipedia/commons/b/bb/Rose%2C_Von_Scharnhorst%2C_%E3%83%90%E3%83%A9%2C_%E3%83%95%E3%82%A9%E3%83%B3_%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%B3%E3%83%9B%E3%83%AB%E3%82%B9%E3%83%88%2C_%2820948399405%29.jpg,72
489,70339,https://upload.wikimedia.org/wikipedia/commons/4/43/Rose_Smarty_%E3%83%90%E3%83%A9_%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%86%E3%82%A3_%286357961643%29.jpg,72
650,70500,https://upload.wikimedia.org/wikipedia/commons/8/8a/Rose_Chaucer_%E3%83%90%E3%83%A9_%E3%83%81%E3%83%A7%E3%83%BC%E3%82%B5%E3%83%BC_%286314661281%29.jpg,72
467,70317,https://upload.wikimedia.org/wikipedia/commons/c/c1/Rose_New_Ave_Maria_%E3%83%90%E3%83%A9_%E3%83%8B%E3%83%A5%E3%83%BC_%E3%82%A2%E3%83%99%E3%83%9E%E3%83%AA%E3%82%A2_%286343138503%29.jpg,72
1450,71300,https://upload.wikimedia.org/wikipedia/commons/0/0e/Rose%2C_Rose_Gaujard%2C_%E3%83%90%E3%83%A9%2C_%E3%83%AD%E3%83%BC%E3%82%BA_%E3%82%B4%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%AB%2C_%2815559409799%29.jpg,72
334,70184,https://upload.wikimedia.org/wikipedia/commons/5/5d/Rose%2C_L.D.Braithwaite%2C_%E3%83%90%E3%83%A9%2C_L.D._%E3%83%96%E3%83%AC%E3%82%B9%E3%82%A6%E3%82%A7%E3%82%A4%E3%83%88%E3%82%A5%2C_%2812870848074%29.jpg,72
74,69924,https://upload.wikimedia.org/wikipedia/commons/c/cd/Rose_Baroque_Floorshow_%E3%83%90%E3%83%A9_%E3%83%90%E3%83%AD%E3%83%83%E3%82%AF_%E3%83%95%E3%83%AD%E3%82%A2%E3%82%B7%E3%83%A7%E3%83%BC_%286792031338%29.jpg,72
641,70491,https://upload.wikimedia.org/wikipedia/commons/3/3d/Rose%2C_Kent%2C_%E3%83%90%E3%83%A9%2C_%E3%82%B1%E3%83%B3%E3%83%88%2C_%2813028831514%29.jpg,72
1508,71358,https://upload.wikimedia.org/wikipedia/commons/1/18/Rose%2C_Harlekin%2C_%E3%83%90%E3%83%A9%2C_%E3%83%8F%E3%83%AB%E3%83%AC%E3%82%AD%E3%83%BC%E3%83%B3%2C_%2815796701468%29.jpg,72
705,70555,https://upload.wikimedia.org/wikipedia/commons/2/28/Rose_Black_Baccara_%E3%83%90%E3%83%A9_%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF_%E3%83%90%E3%82%AB%E3%83%A9_%285191011685%29.jpg,72
1578,71428,https://upload.wikimedia.org/wikipedia/commons/3/3d/Rose%2C_Jean_Giono%2C_%E3%83%90%E3%83%A9%2C_%E3%82%B8%E3%83%A3%E3%83%B3_%E3%82%B8%E3%82%AA%E3%83%8E%2C_%2815434937527%29.jpg,72
712,70562,https://upload.wikimedia.org/wikipedia/commons/3/3a/Rose%2CTess_of_the_d%27Urbervilles%2C%E3%83%90%E3%83%A9%2C%E3%83%86%E3%82%B9_%E3%82%AA%E3%83%96_%E3%82%B6_%E3%83%80%E3%83%BC%E3%83%90%E3%83%BC%E3%83%B4%E3%82%A3%E3%83%AB%E3%82%BA%2C_%2812856159405%29.jpg,72
798,70648,https://upload.wikimedia.org/wikipedia/commons/9/9c/Rose%2C_Golden_Chappy%2C_%E3%83%90%E3%83%A9%2C_%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3_%E3%83%81%E3%83%A3%E3%83%83%E3%83%94%E3%83%BC%2C_%2813034872174%29.jpg,72
107,69957,https://upload.wikimedia.org/wikipedia/commons/5/5a/Rose%2C_Broadway%2C_%E3%83%90%E3%83%A9%2C_%E3%83%96%E3%83%AD%E3%83%BC%E3%83%89%E3%82%A6%E3%82%A7%E3%82%A4%2C_%2814988361774%29.jpg,72
799,70649,https://upload.wikimedia.org/wikipedia/commons/e/e2/Rose_Johann_Strauss_%E3%83%90%E3%83%A9_%E3%83%A8%E3%83%8F%E3%83%B3_%E3%82%B7%E3%83%A5%E3%83%88%E3%83%A9%E3%82%A6%E3%82%B9_%286321827017%29.jpg,72
912,70762,https://upload.wikimedia.org/wikipedia/commons/6/66/Roses_at_Flower_festival_commemorative_park._%E3%83%90%E3%83%A9%EF%BC%8C%E8%8A%B1%E3%83%95%E3%82%A7%E3%82%B9%E3%82%BF%E8%A8%98%E5%BF%B5%E5%85%AC%E5%9C%92%E3%81%AB%E3%81%A6%EF%BC%8E_%289424013227%29.jpg,72
919,70769,https://upload.wikimedia.org/wikipedia/commons/2/29/Rose%2C_My_Girl%2C_%E3%83%90%E3%83%A9%2C_%E3%83%9E%E3%82%A4_%E3%82%AC%E3%83%BC%E3%83%AB%2C_%2814270448891%29.jpg,72
438,70288,https://upload.wikimedia.org/wikipedia/commons/4/4a/Rose_Tear_Pearl_%E3%83%90%E3%83%A9_%E3%83%86%E3%82%A3%E3%82%A2%E3%83%BB%E3%83%91%E3%83%BC%E3%83%AB_%287508340432%29.jpg,72
1213,71063,https://upload.wikimedia.org/wikipedia/commons/c/c7/Rose%2C_Brass_Band%2C_%E3%83%90%E3%83%A9%2C_%E3%83%96%E3%83%A9%E3%82%B9%E3%83%90%E3%83%B3%E3%83%89%2C_%2813158326743%29.jpg,72
277,70127,https://upload.wikimedia.org/wikipedia/commons/7/73/Rose%2C_%2C_%E3%83%90%E3%83%A9%2C_%2C_%2812857009153%29.jpg,72
825,70675,https://upload.wikimedia.org/wikipedia/commons/8/80/Rose_Mary_Rose_%E3%83%90%E3%83%A9_%E3%83%A1%E3%82%A2%E3%83%AA%E3%83%BC_%E3%83%AD%E3%83%BC%E3%82%BA_%286935086747%29.jpg,72
