,0,1,2
435,27446,https://upload.wikimedia.org/wikipedia/commons/4/43/Pyrogiv_Khata_z_Yasnoziria1_DSC_8013.jpg,24
1904,28915,https://upload.wikimedia.org/wikipedia/commons/b/b0/%D0%9A%D1%83%D1%80%D0%BD%D0%B8%D0%BA_%D0%B7_%D1%81%D0%B5%D0%BB%D0%B0_%D0%A6%D0%B8%D0%B1%D1%83%D0%BB%D1%96%D0%B2%D0%BA%D0%B0_80-361-0917.jpg,24
45,27056,https://upload.wikimedia.org/wikipedia/commons/b/bb/80-361-0834_Kyiv_Pyrohiv_SAM_0635.jpg,24
507,27518,https://upload.wikimedia.org/wikipedia/commons/b/b3/%D0%9A%D0%B0%D0%BF%D0%BB%D0%B8%D1%86%D1%8F_%D0%B7_%D1%81%D0%B5%D0%BB%D0%B0_%D0%9A%D0%BB%D0%B5%D1%81%D1%96%D0%B2_03.JPG,24
1508,28519,https://upload.wikimedia.org/wikipedia/commons/2/2d/80-361-0801_Kyiv_Pyrohiv_SAM_0871.jpg,24
239,27250,https://upload.wikimedia.org/wikipedia/commons/8/8e/%D0%A1%D0%B0%D0%B4%D0%B8%D0%B1%D0%B0_%D1%96%D0%B7_%D1%81%D0%B5%D0%BB%D0%B0_%D0%A1%D1%82%D0%B0%D1%80%D0%BE%D0%BA%D0%BE%D0%B7%D0%B0%D1%87%D0%B5_%D0%91%D1%96%D0%BB%D0%B3%D0%BE%D1%80%D0%BE%D0%B4-%D0%94%D0%BD%D1%96%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD%D1%83_%D0%9E%D0%B4%D0%B5%D1%81%D1%8C%D0%BA%D0%BE%D1%97_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%96.JPG,24
1943,28954,https://upload.wikimedia.org/wikipedia/commons/4/46/%D0%A1%D0%B0%D0%B4%D0%B8%D0%B1%D0%B0_%D1%81%D0%B5%D0%BB%D0%B0_%D0%9A%D1%83%D0%BD%D1%86%D0%B5%D0%B2%D0%B5.JPG,24
546,27557,https://upload.wikimedia.org/wikipedia/commons/2/23/%D0%A5%D0%B0%D1%82%D0%B0_%D0%B7_%D1%81%D0%B5%D0%BB%D0%B0_%D0%AF%D1%80%D0%B8%D1%88%D1%96%D0%B2_80-361-0979_3.jpg,24
8,27019,https://upload.wikimedia.org/wikipedia/commons/6/69/%D0%9A%D1%83%D0%B7%D0%BD%D1%8F_%D0%B7_%D1%81%D0%B5%D0%BB%D0%B0_%D0%94%D0%B7%D0%B5%D0%BC%D0%B1%D1%80%D0%BE%D0%BD%D1%8F.JPG,24
2115,29126,https://upload.wikimedia.org/wikipedia/commons/b/bb/%D0%9F%D0%B0%D1%81%D1%82%D0%B8%D1%80%D0%BA%D0%B0_%D0%B7_%D0%BC%D1%96%D1%81%D1%82%D0%B0_%D0%A0%D0%B0%D1%85%D1%96%D0%B2_02.jpg,24
1467,28478,https://upload.wikimedia.org/wikipedia/commons/f/fb/%D0%9A%D0%BB%D0%B5%D0%BF%D0%B0%D1%87%D1%96.jpg,24
16,27027,https://upload.wikimedia.org/wikipedia/commons/2/2d/%D0%9F%D0%B8%D1%80%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE_2015_%2835%29.jpg,24
631,27642,https://upload.wikimedia.org/wikipedia/commons/0/0c/%D0%A8%D0%BF%D0%B8%D1%85%D1%96%D1%80_%D0%B7_%D1%81%D0%B5%D0%BB%D0%B0_%D0%97%D0%B0%D0%B1%D1%80%D0%BE%D0%B4%D0%B8_01.jpg,24
